Position,Name,Nationality,Team,Points
1,Jack Brabham (BRA),AUS,Cooper Climax,31
2,Tony Brooks (BRO),GBR,Ferrari,27
3,Stirling Moss (MOS),GBR,Cooper Climax,25.5
4,Phil Hill (HIL),USA,Ferrari,20
5,Maurice  Trintignant (TRI),FRA,Cooper Climax,19
6,Bruce McLaren (MCL),NZL,Cooper Climax,16.5
7,Dan Gurney (GUR),USA,Ferrari,13
8,Jo Bonnier (BON),SWE,BRM,10
8,Masten Gregory (GRE),USA,Cooper Climax,10
10,Rodger Ward (WAR),USA,Kurtis Kraft Offenhauser,8
11,Jim Rathmann (RAT),USA,Watson Offenhauser,6
12,Johnny Thomson (THO),USA,Lesovsky Offenhauser,5
12,Innes Ireland (IRE),GBR,Lotus Climax,5
12,Harry Schell (SCH),USA,Cooper Climax,5
15,Tony  Bettenhausen (BET),USA,Epperly Offenhauser,3
15,Olivier  Gendebien (GEN),BEL,Ferrari,3
17,Paul Goldsmith (GOL),USA,Epperly Offenhauser,2
17,Jean Behra (BEH),FRA,Ferrari,2
17,Cliff Allison (ALL),GBR,Ferrari,2
