Position,Name,Nationality,Team,Points
1,Juan Manuel Fangio (FAN),ARG,Ferrari,30
2,Stirling Moss (MOS),GBR,Maserati,27
3,Peter Collins (COL),GBR,Ferrari,25
4,Jean Behra (BEH),FRA,Maserati,22
5,Pat Flaherty (FLA),USA,Watson Offenhauser,8
6,Eugenio Castellotti (CAS),ITA,Ferrari,7.5
7,Sam Hanks (HAN),USA,Kurtis Kraft Offenhauser,6
7,Paul Frere (FRE),BEL,Ferrari,6
7,Paco  Godia (GOD),ESP,Maserati,6
10,Jack  Fairman (FAI),GBR,Connaught Alta,5
11,Mike Hawthorn (HAW),GBR,BRM,4
11,Luigi Musso (MUS),ITA,Ferrari,4
11,Don  Freeland (FRE),USA,Phillips Offenhauser,4
11,Ron Flockhart (FLO),GBR,Connaught Alta,4
15,Johnnie  Parsons (PAR),USA,Kuzma Offenhauser,3
15,Harry Schell (SCH),USA,Vanwall,3
15,Alfonso de Portago  (DEP),ESP,Ferrari,3
15,Cesare Perdisa (PER),ITA,Maserati,3
19,Olivier  Gendebien (GEN),BEL,Ferrari,2
19,Hermano da Silva Ramos (DAS),BRA,Gordini,2
19,Dick Rathmann (RAT),USA,Kurtis Kraft Offenhauser,2
19,Luigi  Villoresi (VIL),ITA,Maserati,2
19,Horace  Gould  (GOU),GBR,Maserati,2
19,Louis  Rosier (ROS),FRA,Maserati,2
25,Gerino  Gerini  (GER),ITA,Maserati,1.5
25,Chico Landi (LAN),BRA,Maserati,1.5
27,Paul Russo (RUS),USA,Kurtis Kraft Novi,1
