Position,Name,Nationality,Team,Points
1,Juan Manuel Fangio (FAN),ARG,Mercedes-Benz,42
2,Jose Froilan Gonzalez (GON),ARG,Ferrari,25.1
3,Mike Hawthorn (HAW),GBR,Ferrari,24.6
4,Maurice  Trintignant (TRI),FRA,Ferrari,17
5,Karl Kling (KLI),GER,Mercedes-Benz,12
6,Bill  Vukovich  (VUK),USA,Kurtis Kraft Offenhauser,8
6,Hans  Herrmann (HER),GER,Mercedes-Benz,8
8,Nino Farina (FAR),ITA,Ferrari,6
8,Jimmy Bryan (BRY),USA,Kuzma Offenhauser,6
8,Luigi Musso (MUS),ITA,Maserati,6
8,Roberto Mieres (MIE),ARG,Maserati,6
12,Jack McGrath (MCG),USA,Kurtis Kraft Offenhauser,5
13,Stirling Moss (MOS),GBR,Maserati,4.1
13,Onofre Marimon (MAR),ARG,Maserati,4.1
15,Robert  Manzon (MAN),FRA,Ferrari,4
15,Sergio Mantovani (MAN),ITA,Maserati,4
17,Prince Bira (BIR),THA,Maserati,3
18,Elie Bayol (BAY),FRA,Gordini,2
18,Mike Nazaruk (NAZ),USA,Kurtis Kraft Offenhauser,2
18,Andre Pilette (PIL),BEL,Gordini,2
18,Luigi  Villoresi (VIL),ITA,Lancia,2
18,Umberto  Maglioli (MAG),ITA,Ferrari,2
23,Troy Ruttman (RUT),USA,Kurtis Kraft Offenhauser,1.5
23,Duane Carter (CAR),USA,Kurtis Kraft Offenhauser,1.5
25,Alberto Ascari (ASC),ITA,Lancia,1.1
26,Jean Behra (BEH),FRA,Gordini,0.1
