Position,Name,Nationality,Team,Points
1,Niki Lauda (LAU),AUT,Ferrari,64.5
2,Emerson Fittipaldi (FIT),BRA,McLaren Ford,45
3,Carlos Reutemann (REU),ARG,Brabham Ford,37
4,James Hunt (HUN),GBR,Hesketh Ford,33
5,Clay Regazzoni (REG),SUI,Ferrari,25
6,Carlos Pace (PAC),BRA,Brabham Ford,24
7,Jody Scheckter (SCH),RSA,Tyrrell Ford,20
7,Jochen Mass (MAS),GER,McLaren Ford,20
9,Patrick Depailler (DEP),FRA,Tyrrell Ford,12
10,Tom Pryce (PRY),GBR,Shadow Ford,8
11,Vittorio Brambilla (BRA),ITA,March Ford,6.5
12,Jacques Laffite (LAF),FRA,Frank Williams Racing Cars/Williams,6
12,Ronnie Peterson (PET),SWE,Lotus Ford,6
14,Mario Andretti (AND),USA,Parnelli Ford,5
15,Mark Donohue (DON),USA,March Ford,4
16,Jacky Ickx (ICK),BEL,Lotus Ford,3
17,Alan  Jones (JON),AUS,Hill Ford,2
18,Jean-Pierre Jarier (JAR),FRA,Shadow Ford,1.5
19,Tony Brise (BRI),GBR,Hill Ford,1
19,Gijs van Lennep (VAN),NED,Ensign Ford,1
21,Lella Lombardi (LOM),ITA,Frank Williams Racing Cars/Williams,0.5
