Position,Name,Nationality,Team,Points
1,Alberto Ascari (ASC),ITA,Ferrari,36
2,Nino Farina (FAR),ITA,Ferrari,24
3,Piero  Taruffi (TAR),ITA,Ferrari,22
4,Rudi  Fischer  (FIS),SUI,Ferrari,10
4,Mike Hawthorn (HAW),GBR,Cooper Bristol,10
6,Robert  Manzon (MAN),FRA,Gordini,9
7,Troy Ruttman (RUT),USA,Kuzma Offenhauser,8
7,Luigi  Villoresi (VIL),ITA,Ferrari,8
9,Jose Froilan Gonzalez (GON),ARG,Maserati,6.5
10,Jim Rathmann (RAT),USA,Kurtis Kraft Offenhauser,6
10,Jean Behra (BEH),FRA,Gordini,6
12,Sam Hanks (HAN),USA,Kurtis Kraft Offenhauser,4
13,Ken  Wharton (WHA),GBR,null,3
13,Duane Carter (CAR),USA,Lesovsky Offenhauser,3
13,Dennis Poore (POO),GBR,Connaught Lea Francis,3
16,Alan Brown (BRO),GBR,Cooper Bristol,2
16,Art Cross (CRO),USA,Kurtis Kraft Offenhauser,2
16,Paul Frere (FRE),BEL,Simca-Gordini,2
16,Maurice  Trintignant (TRI),FRA,Gordini,2
16,Eric Thompson (THO),GBR,Connaught Lea Francis,2
16,Felice  Bonetto (BON),ITA,Maserati,2
22,Bill  Vukovich  (VUK),USA,Kurtis Kraft Offenhauser,1
