Track,Region,Country/Race,Date
Autódromo Internacional do Rio de Janeiro,Brazil,Brazil,09 - 12 Apr 1987
Autodromo Dino Ferrari,San Marino,San Marino,01 - 03 May 1987
Circuit de Spa-Francorchamps,Belgium,Belgium,15 - 17 May 1987
Circuit de Monaco,Monaco,Monaco,31 May 1987
Detroit Street Circuit,United States,Detroit,21 Jun 1987
Circuit Paul Ricard,France,France,05 Jul 1987
Silverstone Circuit,Great Britain,Great Britain,12 Jul 1987
Hockenheimring,Germany,Germany,26 Jul 1987
Hungaroring,Hungary,Hungary,09 Aug 1987
Österreichring,Austria,Austria,16 Aug 1987
Autodromo Nazionale Monza,Italy,Italy,06 Sep 1987
Autódromo do Estoril,Portugal,Portugal,20 Sep 1987
Circuito Permanente de Jerez,Spain,Spain,27 Sep 1987
Autódromo Hermanos Rodríguez,Mexico,Mexico,18 Oct 1987
Suzuka International Racing Course,Japan,Japan,01 Nov 1987
Adelaide Street Circuit,Australia,Australia,15 Nov 1987
