Position,Number,Name,Team,Laps,Time,Points
1,1,Alain Prost (PRO),McLaren TAG,43,1:27:03.217,9
2,2,Stefan Johansson (JOH),McLaren TAG,43,+24.764s,6
3,8,Andrea de Cesaris (DEC),Brabham BMW,42,DNF,4
4,18,Eddie  Cheever (CHE),Arrows Megatron,42,+1 lap,3
5,11,Satoru Nakajima (NAK),Lotus Honda,42,+1 lap,2
6,25,Rene Arnoux (ARN),Ligier Megatron,41,+2 laps,1
7,26,Piercarlo Ghinzani (GHI),Ligier Megatron,40,DNF,0
8,30,Philippe Alliot (ALL),Lola Ford,40,+3 laps,0
9,4,Philippe Streiff (STR),Tyrrell Ford,39,+4 laps,0
10,14,Pascal Fabre (FAB),AGS Ford,38,DNF,0
NC,19,Teo Fabi (FAB),Benetton Ford,34,DNF,0
NC,9,Martin Brundle (BRU),Zakspeed,19,DNF,0
NC,20,Thierry Boutsen (BOU),Benetton Ford,18,DNF,0
NC,5,Nigel Mansell (MAN),Williams Honda,17,DNF,0
NC,16,Ivan Capelli (CAP),March Ford,14,DNF,0
NC,6,Nelson Piquet (PIQ),Williams Honda,11,DNF,0
NC,21,Alex Caffi (CAF),Osella Alfa Romeo,11,DNF,0
NC,27,Michele Alboreto (ALB),Ferrari,9,DNF,0
NC,10,Christian Danner (DAN),Zakspeed,9,DNF,0
NC,17,Derek Warwick (WAR),Arrows Megatron,8,DNF,0
NC,7,Riccardo Patrese (PAT),Brabham BMW,5,DNF,0
NC,28,Gerhard Berger (BER),Ferrari,2,DNF,0
NC,24,Alessandro Nannini (NAN),Minardi Motori Moderni,1,DNF,0
NC,23,Adrian Campos (CAM),Minardi Motori Moderni,,DNS,0
NC,3,Jonathan  Palmer (PAL),Tyrrell Ford,,DNS,0
NC,12,Ayrton Senna (SEN),Lotus Honda,,DNS,0
