Position,Number,Name,Team,Laps,Time,Points
1,99,Lee Wallard (WAL),Kurtis Kraft Offenhauser,200,3:57:38.050,9
2,83,Mike Nazaruk (NAZ),Kurtis Kraft Offenhauser,200,+107.243s,6
3,9,Manny Ayulo (AYU),Kurtis Kraft Offenhauser,200,,2
3,9,Jack McGrath (MCG),Kurtis Kraft Offenhauser,,SHC,2
4,57,Andy Linden (LIN),Sherman Offenhauser,200,+0 lap,3
5,52,Bobby Ball (BAL),Schroeder Offenhauser,200,+0 lap,2
6,1,Henry Banks (BAN),Moore Offenhauser,200,+0 lap,0
7,68,Carl Forberg (FOR),Kurtis Kraft Offenhauser,193,+7 laps,0
8,27,Duane Carter (CAR),Deidt Offenhauser,180,+20 laps,0
9,5,Tony  Bettenhausen (BET),Deidt Offenhauser,178,DNF,0
10,18,Duke Nalon (NAL),Kurtis Kraft Novi,151,DNF,0
11,69,Gene Force (FOR),Kurtis Kraft Offenhauser,142,DNF,0
12,25,Sam Hanks (HAN),Kurtis Kraft Offenhauser,135,DNF,0
13,10,Bill Schindler (SCH),Kurtis Kraft Offenhauser,129,DNF,0
14,16,Mauri  Rose (ROS),Deidt Offenhauser,126,DNF,0
15,2,Walt  Faulkner (FAU),Kuzma Offenhauser,123,DNF,0
16,76,Jimmy Davies (DAV),Pawl Offenhauser,110,DNF,0
17,59,Fred Agabashian (AGA),Kurtis Kraft Offenhauser,109,DNF,0
18,73,Carl Scarborough (SCA),Kurtis Kraft Offenhauser,100,DNF,0
19,71,Bill  Mackey (MAC),Hall Offenhauser,97,DNF,0
20,8,Chuck  Stevenson (STE),Marchese Offenhauser,93,DNF,0
21,3,Johnnie  Parsons (PAR),Kurtis Kraft Offenhauser,87,DNF,0
22,4,Cecil  Green (GRE),Kurtis Kraft Offenhauser,80,DNF,0
23,98,Troy Ruttman (RUT),Kurtis Kraft Offenhauser,78,DNF,0
24,6,Duke Dinsmore (DIN),Schroeder Offenhauser,73,DNF,0
25,32,Chet  Miller (MIL),Kurtis Kraft Novi,56,DNF,0
26,44,Walt Brown (BRO),Kurtis Kraft Offenhauser,55,DNF,0
27,48,Rodger Ward (WAR),Bromme Offenhauser,34,DNF,0
28,23,Cliff Griffith (GRI),Kurtis Kraft Offenhauser,30,DNF,0
29,81,Bill  Vukovich  (VUK),Trevis Offenhauser,29,DNF,0
30,22,George Connor (CON),Lesovsky Offenhauser,29,DNF,0
31,19,Mack Hellings (HEL),Deidt Offenhauser,18,DNF,0
32,12,Johnny McDowell (MCD),Maserati-Offenhauser,15,DNF,0
33,26,Joe James (JAM),Watson Offenhauser,8,DNF,0
