Track,Region,Country/Race,Date
Autódromo Juan y Oscar Gálvez,Argentina,Argentina,"<span class=""full-date"">13 Jan 1980</span>"
Autódromo José Carlos Pace,Brazil,Brazil,"<span class=""full-date"">27 Jan 1980</span>"
Kyalami Grand Prix Circuit,South Africa,South Africa,"<span class=""full-date"">01 Mar 1980</span>"
Long Beach Street Circuit,United States,USA West ,"<span class=""full-date"">30 Mar 1980</span>"
Circuit Zolder,Belgium,Belgium,"<span class=""full-date"">04 May 1980</span>"
Circuit de Monaco,Monaco,Monaco,"<span class=""full-date"">18 May 1980</span>"
Circuit Paul Ricard,France,France,"<span class=""full-date"">29 Jun 1980</span>"
Silverstone Circuit,Great Britain,Great Britain,"<span class=""full-date"">13 Jul 1980</span>"
Hockenheimring,Germany,Germany,"<span class=""full-date"">10 Aug 1980</span>"
Österreichring,Austria,Austria,"<span class=""full-date"">17 Aug 1980</span>"
Circuit Park Zandvoort,Netherlands,Netherlands,"<span class=""full-date"">31 Aug 1980</span>"
Autodromo Dino Ferrari,Italy,Italy,"<span class=""full-date"">14 Sep 1980</span>"
Circuit Île Notre-Dame,Canada,Canada,"<span class=""full-date"">28 Sep 1980</span>"
Watkins Glen International,United States,USA East ,"<span class=""full-date"">05 Oct 1980</span>"
