Track,Region,Country/Race,Date
Kyalami Grand Prix Circuit,South Africa,South Africa,"<span class=""full-date"">23 Jan 1982</span>"
Autódromo Internacional do Rio de Janeiro,Brazil,Brazil,"<span class=""full-date"">21 Mar 1982</span>"
Long Beach Street Circuit,United States,USA West ,"<span class=""full-date"">04 Apr 1982</span>"
Autodromo Dino Ferrari,San Marino,San Marino,"<span class=""full-date"">25 Apr 1982</span>"
Circuit Zolder,Belgium,Belgium,"<span class=""full-date"">09 May 1982</span>"
Circuit de Monaco,Monaco,Monaco,"<span class=""full-date"">23 May 1982</span>"
Detroit Street Circuit,United States,Detroit,"<span class=""full-date"">06 Jun 1982</span>"
Circuit Gilles Villeneuve,Canada,Canada,"<span class=""full-date"">13 Jun 1982</span>"
Circuit Park Zandvoort,Netherlands,Netherlands,"<span class=""full-date"">03 Jul 1982</span>"
Brands Hatch Circuit,Great Britain,Great Britain,"<span class=""full-date"">18 Jul 1982</span>"
Circuit Paul Ricard,France,France,"<span class=""full-date"">25 Jul 1982</span>"
Hockenheimring,Germany,Germany,"<span class=""full-date"">08 Aug 1982</span>"
Österreichring,Austria,Austria,"<span class=""full-date"">15 Aug 1982</span>"
Circuit Dijon-Prenois,France,Switzerland,"<span class=""full-date"">29 Aug 1982</span>"
Autodromo Nazionale Monza,Italy,Italy,"<span class=""full-date"">12 Sep 1982</span>"
Caesars Palace,United States,Las Vegas ,"<span class=""full-date"">25 Sep 1982</span>"
