Position,Number,Name,Team,Laps,Time,Points
1,10,Alberto Ascari (ASC),Ferrari,97,3:01:04.600,9
2,14,Luigi  Villoresi (VIL),Ferrari,96,+1 lap,6
3,4,Jose Froilan Gonzalez (GON),Maserati,96,+1 lap,4
4,16,Mike Hawthorn (HAW),Ferrari,96,+1 lap,3
5,8,Oscar Alfredo Galvez (GAL),Maserati,96,+1 lap,2
6,30,Jean Behra (BEH),Gordini,94,+3 laps,0
7,28,Maurice  Trintignant (TRI),Gordini,,SHC,0
7,28,Harry Schell (SCH),Gordini,91,+6 laps,0
8,22,John Barber (BAR),Cooper Bristol,90,+7 laps,0
9,20,Alan Brown (BRO),Cooper Bristol,87,+10 laps,0
NC,26,Robert  Manzon (MAN),Gordini,67,DNF,0
NC,2,Juan Manuel Fangio (FAN),Maserati,36,DNF,0
NC,6,Felice  Bonetto (BON),Maserati,31,DNF,0
NC,12,Nino Farina (FAR),Ferrari,30,DNF,0
NC,32,Carlos Menditeguy (MEN),Gordini,24,DNF,0
NC,34,Pablo Birger (BIR),Simca-Gordini,21,DNF,0
NC,24,Adolfo Schewelm Cruz (CRU),Cooper Bristol,20,DNF,0
