Position,Number,Name,Team,Laps,Time,Points
1,46,Alberto Ascari (ASC),Ferrari,65,3:01:34.400,9
2,24,Nino Farina (FAR),Ferrari,65,+72.930s,6
3,26,Mike Hawthorn (HAW),Ferrari,65,+95.960s,4
4,32,Juan Manuel Fangio (FAN),Maserati,,SHC,1.5
4,32,Felice  Bonetto (BON),Maserati,64,+1 lap,1.5
5,34,Hermann Lang (LAN),Maserati,62,+3 laps,2
6,28,Luigi  Villoresi (VIL),Ferrari,62,+3 laps,0
7,20,Ken  Wharton (WHA),Cooper Bristol,62,+3 laps,0
NC,4,Chico Landi (LAN),Maserati,54,DNF,0
8,40,Max de Terra (DET),Ferrari,51,+14 laps,0
9,18,Albert Scherrer (SCH),HWM Alta,49,+16 laps,0
NC,42,Toulo de Graffenried (DEG),Maserati,48,DNF,0
NC,36,Onofre Marimon (MAR),Maserati,46,DNF,0
NC,8,Maurice  Trintignant (TRI),Gordini,43,DNF,0
NC,6,Jean Behra (BEH),Gordini,37,DNF,0
NC,30,Felice  Bonetto (BON),Maserati,,SHC,0
NC,30,Juan Manuel Fangio (FAN),Maserati,29,DNF,0
NC,16,Lance Macklin (MAC),HWM Alta,29,DNF,0
NC,38,Peter Hirt (HIR),Ferrari,17,DNF,0
NC,14,Paul Frere (FRE),HWM Alta,1,DNF,0
NC,10,Louis  Rosier (ROS),Ferrari,0,DNF,0
NC,2,Jacques Swaters (SWA),Ferrari,0,DNF,0
