Position,Number,Name,Team,Laps,Time,Points
1,10,Nino Farina (FAR),Alfa Romeo,80,2:51:17.400,8
2,48,Dorino  Serafini (SER),Ferrari,,SHC,3
2,48,Alberto Ascari (ASC),Ferrari,80,+78.600s,3
3,36,Luigi Fagioli (FAG),Alfa Romeo,80,+95.600s,4
4,58,Louis  Rosier (ROS),Talbot-Lago,75,+5 laps,3
5,24,Philippe  Etancelin (ETA),Talbot-Lago,75,+5 laps,2
6,38,Toulo de Graffenried (DEG),Maserati,72,+8 laps,0
7,8,Peter  Whitehead (WHI),Ferrari,72,+8 laps,0
NC,50,David  Murray (MUR),Maserati,56,DNF,0
NC,32,Cuth  Harrison (HAR),ERA,51,DNF,0
NC,12,Raymond  Sommer (SOM),Talbot-Lago,48,DNF,0
NC,40,Guy  Mairesse (MAI),Talbot-Lago,42,DNF,0
NC,4,Franco  Rol (ROL),Maserati,39,DNF,0
NC,60,Piero  Taruffi (TAR),Alfa Romeo,,SHC,0
NC,60,Juan Manuel Fangio (FAN),Alfa Romeo,34,DNF,1
NC,56,Pierre  Levegh (LEV),Talbot-Lago,29,DNF,0
NC,18,Juan Manuel Fangio (FAN),Alfa Romeo,23,DNF,1
NC,2,Johnny Claes (CLA),Talbot-Lago,22,DNF,0
NC,16,Alberto Ascari (ASC),Ferrari,21,DNF,0
NC,22,Clemente  Biondetti (BIO),Ferrari Jaguar,17,DNF,0
NC,64,Henri Louveau (LOU),Talbot-Lago,16,DNF,0
NC,62,Franco  Comotti (COM),Maserati Milano,15,DNF,0
NC,6,Louis  Chiron (CHI),Maserati,13,DNF,0
NC,42,Maurice  Trintignant (TRI),Simca-Gordini,13,DNF,0
NC,46,Consalvo  Sanesi (SAN),Alfa Romeo,11,DNF,0
NC,44,Robert  Manzon (MAN),Simca-Gordini,7,DNF,0
NC,30,Prince Bira (BIR),Maserati,1,DNF,0
NC,28,Paul  Pietsch (PIE),Maserati,0,DNF,0
