Position,Number,Name,Team,Laps,Time,Points
1,6,Juan Manuel Fangio (FAN),Alfa Romeo,64,2:57:52.800,9
2,4,Luigi Fagioli (FAG),Alfa Romeo,64,+25.700s,6
3,14,Peter  Whitehead (WHI),Ferrari,61,+3 laps,4
4,44,Robert  Manzon (MAN),Simca-Gordini,61,+3 laps,3
5,16,Philippe  Etancelin (ETA),Talbot-Lago,,SHC,1
5,16,Eugene  Chaboud (CHA),Talbot-Lago,59,+5 laps,1
6,26,Charles  Pozzi  (POZ),Talbot-Lago,,SHC,0
6,26,Louis  Rosier (ROS),Talbot-Lago,56,+8 laps,0
7,2,Nino Farina (FAR),Alfa Romeo,55,DNF,0
8,18,Yves Giraud-Cabantous (GIR),Talbot-Lago,52,+12 laps,0
NC,22,Pierre  Levegh (LEV),Talbot-Lago,37,DNF,0
NC,40,Felice  Bonetto (BON),Maserati Milano,15,DNF,0
NC,42,Johnny Claes (CLA),Talbot-Lago,12,DNF,0
NC,20,Louis  Rosier (ROS),Talbot-Lago,11,DNF,0
NC,32,Reg  Parnell (PAR),Maserati,10,DNF,0
NC,28,Franco  Rol (ROL),Maserati,7,DNF,0
NC,30,Louis  Chiron (CHI),Maserati,7,DNF,0
NC,34,David  Hampshire (HAM),Maserati,6,DNF,0
NC,12,Raymond  Sommer (SOM),Talbot-Lago,5,DNF,0
NC,36,Jose Froilan Gonzalez (GON),Maserati,4,DNF,0
