Track,Region,Country/Race,Date
Autódromo Juan y Oscar Gálvez,Argentina,Argentina,07 Feb 1960
Circuit de Monaco,Monaco,Monaco,29 May 1960
Indianapolis Motor Speedway,United States,Indianapolis 500,30 May 1960
Circuit Park Zandvoort,Netherlands,Netherlands,06 Jun 1960
Circuit de Spa-Francorchamps,Belgium,Belgium,19 Jun 1960
Circuit de Reims-Gueux,France,France,03 Jul 1960
Silverstone Circuit,Great Britain,Great Britain,16 Jul 1960
Circuit da Boavista,Portugal,Portugal,14 Aug 1960
Autodromo Nazionale Monza,Italy,Italy,04 Sep 1960
Riverside International Raceway,United States,United States ,20 Nov 1960
