Track,Region,Country/Race,Date
Autódromo Internacional do Rio de Janeiro,Brazil,Brazil,"<span class=""full-date"">07 Apr 1985</span>"
Autódromo do Estoril,Portugal,Portugal,"<span class=""full-date"">21 Apr 1985</span>"
Autodromo Dino Ferrari,San Marino,San Marino,"<span class=""full-date"">05 May 1985</span>"
Circuit de Monaco,Monaco,Monaco,"<span class=""full-date"">19 May 1985</span>"
Circuit Gilles Villeneuve,Canada,Canada,"<span class=""full-date"">16 Jun 1985</span>"
Detroit Street Circuit,United States,Detroit,"<span class=""full-date"">23 Jun 1985</span>"
Circuit Paul Ricard,France,France,"<span class=""full-date"">07 Jul 1985</span>"
Silverstone Circuit,Great Britain,Great Britain,"<span class=""full-date"">21 Jul 1985</span>"
Nürburgring,Germany,Germany,"<span class=""full-date"">04 Aug 1985</span>"
Österreichring,Austria,Austria,"<span class=""full-date"">18 Aug 1985</span>"
Circuit Park Zandvoort,Netherlands,Netherlands,"<span class=""full-date"">25 Aug 1985</span>"
Autodromo Nazionale Monza,Italy,Italy,"<span class=""full-date"">08 Sep 1985</span>"
Circuit de Spa-Francorchamps,Belgium,Belgium,"<span class=""full-date"">15 Sep 1985</span>"
Brands Hatch Circuit,Great Britain,Europe,"<span class=""full-date"">06 Oct 1985</span>"
Kyalami Grand Prix Circuit,South Africa,South Africa,"<span class=""full-date"">19 Oct 1985</span>"
Adelaide Street Circuit,Australia,Australia,"<span class=""full-date"">03 Nov 1985</span>"
