Track,Region,Country/Race,Date
Autódromo Juan y Oscar Gálvez,Argentina,Argentina,"<span class=""full-date"">23 Jan 1972</span>"
Kyalami Grand Prix Circuit,South Africa,South Africa,"<span class=""full-date"">04 Mar 1972</span>"
Circuito Permanente del Jarama,Spain,Spain,"<span class=""full-date"">01 May 1972</span>"
Circuit de Monaco,Monaco,Monaco,"<span class=""full-date"">14 May 1972</span>"
Complexe Européen de Nivelles-Baulers,Belgium,Belgium,"<span class=""full-date"">04 Jun 1972</span>"
Charade Circuit,France,France,"<span class=""full-date"">02 Jul 1972</span>"
Brands Hatch Circuit,Great Britain,Great Britain,"<span class=""full-date"">15 Jul 1972</span>"
Nürburgring,Germany,Germany,"<span class=""full-date"">30 Jul 1972</span>"
Österreichring,Austria,Austria,"<span class=""full-date"">13 Aug 1972</span>"
Autodromo Nazionale Monza,Italy,Italy,"<span class=""full-date"">10 Sep 1972</span>"
Mosport International Raceway,Canada,Canada,"<span class=""full-date"">24 Sep 1972</span>"
Watkins Glen International,United States,United States ,"<span class=""full-date"">08 Oct 1972</span>"
