Track,Region,Country/Race,Date
Autódromo Juan y Oscar Gálvez,Argentina,Argentina,19 Jan 1958
Circuit de Monaco,Monaco,Monaco,18 May 1958
Circuit Park Zandvoort,Netherlands,Netherlands,26 May 1958
Indianapolis Motor Speedway,United States,Indianapolis 500,30 May 1958
Circuit de Spa-Francorchamps,Belgium,Belgium,15 Jun 1958
Circuit de Reims-Gueux,France,France,06 Jul 1958
Silverstone Circuit,Great Britain,Great Britain,19 Jul 1958
Nürburgring,Germany,Germany,03 Aug 1958
Circuit da Boavista,Portugal,Portugal,24 Aug 1958
Autodromo Nazionale Monza,Italy,Italy,07 Sep 1958
Ain-Diab Circuit,Morocco,Morocco,19 Oct 1958
