Track,Region,Country/Race,Date
Melbourne Grand Prix Circuit,Australia,Australia,"<span class=""full-date"">09 Mar 1997</span>"
Autódromo José Carlos Pace,Brazil,Brazil,"<span class=""full-date"">30 Mar 1997</span>"
Autódromo Juan y Oscar Gálvez,Argentina,Argentina,"<span class=""full-date"">13 Apr 1997</span>"
Autodromo Enzo e Dino Ferrari,San Marino,San Marino,"<span class=""full-date"">27 Apr 1997</span>"
Circuit de Monaco,Monaco,Monaco,"<span class=""full-date"">11 May 1997</span>"
Circuit de Catalunya,Spain,Spain,"<span class=""full-date"">25 May 1997</span>"
Circuit Gilles-Villeneuve,Canada,Canada,"<span class=""full-date"">15 Jun 1997</span>"
Circuit de Nevers Magny-Cours,France,France,"<span class=""full-date"">29 Jun 1997</span>"
Silverstone Circuit,Great Britain,Great Britain,"<span class=""full-date"">13 Jul 1997</span>"
Hockenheimring,Germany,Germany,"<span class=""full-date"">27 Jul 1997</span>"
Hungaroring,Hungary,Hungary,"<span class=""full-date"">10 Aug 1997</span>"
Circuit de Spa-Francorchamps,Belgium,Belgium,"<span class=""full-date"">24 Aug 1997</span>"
Autodromo Nazionale Monza,Italy,Italy,"<span class=""full-date"">07 Sep 1997</span>"
A1-Ring,Austria,Austria,"<span class=""full-date"">21 Sep 1997</span>"
Nürburgring,Germany,Luxembourg,"<span class=""full-date"">28 Sep 1997</span>"
Suzuka International Racing Course,Japan,Japan,"<span class=""full-date"">12 Oct 1997</span>"
Circuito Permanente de Jerez,Spain,Europe,"<span class=""full-date"">26 Oct 1997</span>"
