Track,Region,Country/Race,Date
Autódromo de Interlagos,Brazil,Brazil,"<span class=""full-date"">25 Jan 1976</span>"
Kyalami Grand Prix Circuit,South Africa,South Africa,"<span class=""full-date"">06 Mar 1976</span>"
Long Beach Street Circuit,United States,USA West ,"<span class=""full-date"">28 Mar 1976</span>"
Circuito Permanente del Jarama,Spain,Spain,"<span class=""full-date"">02 May 1976</span>"
Circuit Zolder,Belgium,Belgium,"<span class=""full-date"">16 May 1976</span>"
Circuit de Monaco,Monaco,Monaco,"<span class=""full-date"">30 May 1976</span>"
Scandinavian Raceway,Sweden,Sweden,"<span class=""full-date"">13 Jun 1976</span>"
Circuit Paul Ricard,France,France,"<span class=""full-date"">04 Jul 1976</span>"
Brands Hatch Circuit,Great Britain,Great Britain,"<span class=""full-date"">18 Jul 1976</span>"
Nürburgring,Germany,Germany,"<span class=""full-date"">01 Aug 1976</span>"
Österreichring,Austria,Austria,"<span class=""full-date"">15 Aug 1976</span>"
Circuit Park Zandvoort,Netherlands,Netherlands,"<span class=""full-date"">29 Aug 1976</span>"
Autodromo Nazionale Monza,Italy,Italy,"<span class=""full-date"">12 Sep 1976</span>"
Mosport International Raceway,Canada,Canada,"<span class=""full-date"">03 Oct 1976</span>"
Watkins Glen International,United States,USA East ,"<span class=""full-date"">10 Oct 1976</span>"
Fuji Speedway,Japan,Japan,"<span class=""full-date"">24 Oct 1976</span>"
