Track,Region,Country/Race,Date
Autódromo Juan y Oscar Gálvez,Argentina,Argentina,28 Jan 1973
Autódromo de Interlagos,Brazil,Brazil,11 Feb 1973
Kyalami Grand Prix Circuit,South Africa,South Africa,03 Mar 1973
Montjuïc Circuit,Spain,Spain,29 Apr 1973
Circuit Zolder,Belgium,Belgium,20 May 1973
Circuit de Monaco,Monaco,Monaco,03 Jun 1973
Scandinavian Raceway,Sweden,Sweden,17 Jun 1973
Circuit Paul Ricard,France,France,01 Jul 1973
Silverstone Circuit,Great Britain,Great Britain,14 Jul 1973
Circuit Park Zandvoort,Netherlands,Netherlands,29 Jul 1973
Nürburgring,Germany,Germany,05 Aug 1973
Österreichring,Austria,Austria,19 Aug 1973
Autodromo Nazionale Monza,Italy,Italy,09 Sep 1973
Mosport International Raceway,Canada,Canada,23 Sep 1973
Watkins Glen International,United States,United States ,07 Oct 1973
