Track,Region,Country/Race,Date
Autódromo Internacional do Rio de Janeiro,Brazil,Brazil,"<span class=""full-date"">03 Apr 1988</span>"
Autodromo Enzo e Dino Ferrari,San Marino,San Marino,"<span class=""full-date"">01 May 1988</span>"
Circuit de Monaco,Monaco,Monaco,"<span class=""full-date"">15 May 1988</span>"
Autódromo Hermanos Rodríguez,Mexico,Mexico,"<span class=""full-date"">29 May 1988</span>"
Circuit Gilles-Villeneuve,Canada,Canada,"<span class=""full-date"">12 Jun 1988</span>"
Detroit Street Circuit,United States,Detroit,"<span class=""full-date"">19 Jun 1988</span>"
Circuit Paul Ricard,France,France,"<span class=""full-date"">03 Jul 1988</span>"
Silverstone Circuit,Great Britain,Great Britain,"<span class=""full-date"">10 Jul 1988</span>"
Hockenheimring,Germany,Germany,"<span class=""full-date"">24 Jul 1988</span>"
Hungaroring,Hungary,Hungary,"<span class=""full-date"">07 Aug 1988</span>"
Circuit de Spa-Francorchamps,Belgium,Belgium,"<span class=""full-date"">28 Aug 1988</span>"
Autodromo Nazionale Monza,Italy,Italy,"<span class=""full-date"">11 Sep 1988</span>"
Autódromo do Estoril,Portugal,Portugal,"<span class=""full-date"">25 Sep 1988</span>"
Circuito Permanente de Jerez,Spain,Spain,"<span class=""full-date"">02 Oct 1988</span>"
Suzuka International Racing Course,Japan,Japan,"<span class=""full-date"">30 Oct 1988</span>"
Adelaide Street Circuit,Australia,Australia,"<span class=""full-date"">13 Nov 1988</span>"
