Position,Number,Name,Team,Laps,Time,Points
1,2,Alberto Ascari (ASC),Ferrari,90,2:53:28.500,9
2,4,Nino Farina (FAR),Ferrari,90,+40.100s,6
3,6,Luigi  Villoresi (VIL),Ferrari,90,+94.400s,4
4,32,Mike Hawthorn (HAW),Cooper Bristol,88,+2 laps,3
5,10,Robert  Manzon (MAN),Gordini,87,+3 laps,2
6,12,Maurice  Trintignant (TRI),Gordini,87,+3 laps,0
7,28,Duncan  Hamilton  (HAM),HWM Alta,85,+5 laps,0
8,26,Lance Macklin (MAC),HWM Alta,84,+6 laps,0
9,16,Chico Landi (LAN),Maserati,,SHC,0
9,16,Jan Flinterman (FLI),Maserati,83,+7 laps,0
NC,34,Ken  Wharton (WHA),Frazer Nash,76,DNF,0
NC,36,Stirling Moss (MOS),ERA Bristol,73,DNF,0
NC,30,Dries van der Lof  (VAN),HWM Alta,70,DNC,0
NC,22,Ken  Downing (DOW),Connaught Lea Francis,27,DNF,0
NC,24,Charles de Tornaco (DET),Ferrari,19,DNF,0
NC,14,Paul Frere (FRE),Simca-Gordini,15,DNF,0
NC,8,Jean Behra (BEH),Gordini,10,DNF,0
NC,20,Jan Flinterman (FLI),Maserati,7,DNF,0
NC,18,Gino Bianco (BIA),Maserati,4,DNF,0
