Track,Region,Country/Race,Date
Circuit de Monaco,Monaco,Monaco,"<span class=""full-date"">14 May 1961</span>"
Circuit Park Zandvoort,Netherlands,Netherlands,"<span class=""full-date"">22 May 1961</span>"
Circuit de Spa-Francorchamps,Belgium,Belgium,"<span class=""full-date"">18 Jun 1961</span>"
Circuit de Reims-Gueux,France,France,"<span class=""full-date"">02 Jul 1961</span>"
Aintree Racecourse,Great Britain,Great Britain,"<span class=""full-date"">15 Jul 1961</span>"
Nürburgring,Germany,Germany,"<span class=""full-date"">06 Aug 1961</span>"
Autodromo Nazionale Monza,Italy,Italy,"<span class=""full-date"">10 Sep 1961</span>"
Watkins Glen International,United States,United States ,"<span class=""full-date"">08 Oct 1961</span>"
