Track,Region,Country/Race,Date
Long Beach Street Circuit,United States,USA West ,15 Mar 1981
Autódromo Internacional do Rio de Janeiro,Brazil,Brazil,29 Mar 1981
Autódromo Juan y Oscar Gálvez,Argentina,Argentina,12 Apr 1981
Autodromo Dino Ferrari,San Marino,San Marino,03 May 1981
Circuit Zolder,Belgium,Belgium,17 May 1981
Circuit de Monaco,Monaco,Monaco,31 May 1981
Circuito Permanente del Jarama,Spain,Spain,21 Jun 1981
Circuit Dijon-Prenois,France,France,05 Jul 1981
Silverstone Circuit,Great Britain,Great Britain,18 Jul 1981
Hockenheimring,Germany,Germany,02 Aug 1981
Österreichring,Austria,Austria,16 Aug 1981
Circuit Park Zandvoort,Netherlands,Netherlands,30 Aug 1981
Autodromo Nazionale Monza,Italy,Italy,13 Sep 1981
Circuit Île Notre-Dame,Canada,Canada,27 Sep 1981
Caesars Palace,United States,Las Vegas ,17 Oct 1981
