Track,Region,Country/Race,Date
Autódromo Juan y Oscar Gálvez,Argentina,Argentina,"<span class=""full-date"">15 Jan 1978</span>"
Autódromo Internacional do Rio de Janeiro,Brazil,Brazil,"<span class=""full-date"">29 Jan 1978</span>"
Kyalami Grand Prix Circuit,South Africa,South Africa,"<span class=""full-date"">04 Mar 1978</span>"
Long Beach Street Circuit,United States,USA West ,"<span class=""full-date"">02 Apr 1978</span>"
Circuit de Monaco,Monaco,Monaco,"<span class=""full-date"">07 May 1978</span>"
Circuit Zolder,Belgium,Belgium,"<span class=""full-date"">21 May 1978</span>"
Circuito Permanente del Jarama,Spain,Spain,"<span class=""full-date"">04 Jun 1978</span>"
Scandinavian Raceway,Sweden,Sweden,"<span class=""full-date"">17 Jun 1978</span>"
Circuit Paul Ricard,France,France,"<span class=""full-date"">02 Jul 1978</span>"
Brands Hatch Circuit,Great Britain,Great Britain,"<span class=""full-date"">16 Jul 1978</span>"
Hockenheimring,Germany,Germany,"<span class=""full-date"">30 Jul 1978</span>"
Österreichring,Austria,Austria,"<span class=""full-date"">13 Aug 1978</span>"
Circuit Park Zandvoort,Netherlands,Netherlands,"<span class=""full-date"">27 Aug 1978</span>"
Autodromo Nazionale Monza,Italy,Italy,"<span class=""full-date"">10 Sep 1978</span>"
Watkins Glen International,United States,USA East ,"<span class=""full-date"">01 Oct 1978</span>"
Circuit Île Notre-Dame,Canada,Canada,"<span class=""full-date"">08 Oct 1978</span>"
