Position,Number,Name,Team,Laps,Time,Points
1,1,Michael Schumacher (MSC),Ferrari,72,1:32:09.837,10
2,4,Kimi Räikkönen (RAI),McLaren Mercedes,72,+1.105s,6
3,3,David Coulthard (COU),McLaren Mercedes,72,+31.976s,4
4,6,Juan Pablo Montoya (MOY),Williams BMW,72,+40.676s,3
5,5,Ralf Schumacher (RSC),Williams BMW,72,+41.773s,2
6,15,Jenson Button (BUT),Renault,71,+1 lap,1
7,7,Nick Heidfeld (HEI),Sauber Petronas,71,+1 lap,0
8,23,Mark Webber (WEB),Minardi Asiatech,71,+1 lap,0
9,17,Pedro de la Rosa (DLR),Jaguar Cosworth,70,+2 laps,0
10,22,Alex Yoong (YOO),Minardi Asiatech,68,+4 laps,0
11,25,Allan McNish (MCN),Toyota,65,DNF,0
NC,16,Eddie Irvine (IRV),Jaguar Cosworth,52,DNF,0
NC,14,Jarno Trulli (TRU),Renault,49,DNF,0
NC,8,Felipe Massa (MAS),Sauber Petronas,48,DNF,0
NC,24,Mika Salo (SAL),Toyota,48,DNF,0
NC,11,Jacques Villeneuve (VIL),BAR Honda,35,DNF,0
NC,12,Olivier Panis (PAN),BAR Honda,29,DNF,0
NC,10,Takuma Sato (SAT),Jordan Honda,23,DNF,0
NC,2,Rubens Barrichello (BAR),Ferrari,,DNS,0
