Position,Number,Name,Team,Laps,Time,Points
1,18,Juan Manuel Fangio (FAN),Mercedes-Benz,22,3:45:45.800,8
2,1,Jose Froilan Gonzalez (GON),Ferrari,,SHC,3
2,1,Mike Hawthorn (HAW),Ferrari,22,+96.500s,3
3,2,Maurice  Trintignant (TRI),Ferrari,22,+308.600s,4
4,19,Karl Kling (KLI),Mercedes-Benz,22,+366.500s,4
5,7,Sergio Mantovani (MAN),Maserati,22,+530.500s,2
6,4,Piero  Taruffi (TAR),Ferrari,21,+1 lap,0
7,15,Harry Schell (SCH),Maserati,21,+1 lap,0
8,25,Louis  Rosier (ROS),Ferrari,21,+1 lap,0
9,24,Robert  Manzon (MAN),Ferrari,20,+2 laps,0
10,9,Jean Behra (BEH),Gordini,20,+2 laps,0
NC,14,Prince Bira (BIR),Maserati,18,DNF,0
NC,21,Hermann Lang (LAN),Mercedes-Benz,10,DNF,0
NC,11,Clemar Bucci (BUC),Gordini,8,DNF,0
NC,22,Theo Helfrich (HEL),Klenk BMW,8,DNF,0
NC,20,Hans  Herrmann (HER),Mercedes-Benz,7,DNF,0
NC,10,Paul Frere (FRE),Gordini,4,DNF,0
NC,3,Mike Hawthorn (HAW),Ferrari,3,DNF,0
NC,8,Roberto Mieres (MIE),Maserati,2,DNF,0
NC,16,Stirling Moss (MOS),Maserati,1,DNF,0
NC,12,Andre Pilette (PIL),Gordini,0,DNF,0
