Track,Region,Country/Race,Date
Autódromo Internacional do Rio de Janeiro,Brazil,Brazil,"<span class=""full-date"">23 Mar 1986</span>"
Circuito Permanente de Jerez,Spain,Spain,"<span class=""full-date"">13 Apr 1986</span>"
Autodromo Dino Ferrari,San Marino,San Marino,"<span class=""full-date"">27 Apr 1986</span>"
Circuit de Monaco,Monaco,Monaco,"<span class=""full-date"">11 May 1986</span>"
Circuit de Spa-Francorchamps,Belgium,Belgium,"<span class=""full-date"">25 May 1986</span>"
Circuit Gilles Villeneuve,Canada,Canada,"<span class=""full-date"">15 Jun 1986</span>"
Detroit Street Circuit,United States,Detroit,"<span class=""full-date"">22 Jun 1986</span>"
Circuit Paul Ricard,France,France,"<span class=""full-date"">06 Jul 1986</span>"
Brands Hatch Circuit,Great Britain,Great Britain,"<span class=""full-date"">13 Jul 1986</span>"
Hockenheimring,Germany,Germany,"<span class=""full-date"">27 Jul 1986</span>"
Hungaroring,Hungary,Hungary,"<span class=""full-date"">10 Aug 1986</span>"
Österreichring,Austria,Austria,"<span class=""full-date"">17 Aug 1986</span>"
Autodromo Nazionale Monza,Italy,Italy,"<span class=""full-date"">07 Sep 1986</span>"
Autódromo do Estoril,Portugal,Portugal,"<span class=""full-date"">21 Sep 1986</span>"
Autódromo Hermanos Rodríguez,Mexico,Mexico,"<span class=""full-date"">12 Oct 1986</span>"
Adelaide Street Circuit,Australia,Australia,"<span class=""full-date"">26 Oct 1986</span>"
