Track,Region,Country/Race,Date
Autódromo Internacional do Rio de Janeiro,Brazil,Brazil,11 - 13 Mar 1983
Long Beach Street Circuit,United States,USA West ,"<span class=""full-date"">27 Mar 1983</span>"
Circuit Paul Ricard,France,France,"<span class=""full-date"">17 Apr 1983</span>"
Autodromo Dino Ferrari,San Marino,San Marino,"<span class=""full-date"">01 May 1983</span>"
Circuit de Monaco,Monaco,Monaco,"<span class=""full-date"">15 May 1983</span>"
Circuit de Spa-Francorchamps,Belgium,Belgium,"<span class=""full-date"">22 May 1983</span>"
Detroit Street Circuit,United States,Detroit,"<span class=""full-date"">05 Jun 1983</span>"
Circuit Gilles Villeneuve,Canada,Canada,"<span class=""full-date"">12 Jun 1983</span>"
Silverstone Circuit,Great Britain,Great Britain,"<span class=""full-date"">16 Jul 1983</span>"
Hockenheimring,Germany,Germany,"<span class=""full-date"">07 Aug 1983</span>"
Österreichring,Austria,Austria,"<span class=""full-date"">14 Aug 1983</span>"
Circuit Park Zandvoort,Netherlands,Netherlands,"<span class=""full-date"">28 Aug 1983</span>"
Autodromo Nazionale Monza,Italy,Italy,"<span class=""full-date"">11 Sep 1983</span>"
Brands Hatch Circuit,Great Britain,Europe,"<span class=""full-date"">25 Sep 1983</span>"
Kyalami Grand Prix Circuit,South Africa,South Africa,"<span class=""full-date"">15 Oct 1983</span>"
