Track,Region,Country/Race,Date
Melbourne Grand Prix Circuit,Australia,Australia,"<span class=""full-date"">12 Mar 2000</span>"
Autódromo José Carlos Pace,Brazil,Brazil,"<span class=""full-date"">26 Mar 2000</span>"
Autodromo Enzo e Dino Ferrari,San Marino,San Marino,"<span class=""full-date"">09 Apr 2000</span>"
Silverstone Circuit,Great Britain,Great Britain,"<span class=""full-date"">23 Apr 2000</span>"
Circuit de Catalunya,Spain,Spain,"<span class=""full-date"">07 May 2000</span>"
Nürburgring,Germany,Europe,"<span class=""full-date"">21 May 2000</span>"
Circuit de Monaco,Monaco,Monaco,"<span class=""full-date"">04 Jun 2000</span>"
Circuit Gilles-Villeneuve,Canada,Canada,"<span class=""full-date"">18 Jun 2000</span>"
Circuit de Nevers Magny-Cours,France,France,"<span class=""full-date"">02 Jul 2000</span>"
A1-Ring,Austria,Austria,"<span class=""full-date"">16 Jul 2000</span>"
Hockenheimring,Germany,Germany,"<span class=""full-date"">30 Jul 2000</span>"
Hungaroring,Hungary,Hungary,"<span class=""full-date"">13 Aug 2000</span>"
Circuit de Spa-Francorchamps,Belgium,Belgium,"<span class=""full-date"">27 Aug 2000</span>"
Autodromo Nazionale Monza,Italy,Italy,"<span class=""full-date"">10 Sep 2000</span>"
Indianapolis Motor Speedway,United States,United States  ,"<span class=""full-date"">24 Sep 2000</span>"
Suzuka International Racing Course,Japan,Japan,"<span class=""full-date"">08 Oct 2000</span>"
Sepang International Circuit,Malaysia,Malaysia,"<span class=""full-date"">22 Oct 2000</span>"
